# Time[CET]   Date          Tau         TauERR
  15:44:37    2014-10-21    0.4641      0.0394
  15:48:51    2014-10-21    0.6037      0.2078
  15:53:05    2014-10-21    0.2399      0.1464
  15:57:20    2014-10-21    3.7242      2.1272
  16:01:34    2014-10-21    0.4893      0.0694
  16:05:48    2014-10-21    0.4703      0.0509
  16:10:03    2014-10-21    0.4895      0.0285
  16:14:17    2014-10-21    0.0902      0.1155
  16:18:31    2014-10-21    0.9543      0.3883
  16:22:45    2014-10-21    0.4428      0.3105
  16:26:59    2014-10-21    1.4159      0.4542
  16:31:13    2014-10-21    1.7059      0.5597
  16:35:28    2014-10-21    0.5965      0.0228
  16:39:42    2014-10-21    0.4708      0.0221
  16:43:56    2014-10-21    0.4874      0.0290
  16:48:10    2014-10-21    0.5263      0.0199
  16:52:25    2014-10-21    0.4784      0.0154
  16:56:39    2014-10-21    0.5289      0.0169
  17:00:53    2014-10-21    0.5318      0.0139
