# CRUSH Pixel Data File
#
# Instrument: HAWC_PLUS
# Scan: 2016-12-03_HA_F354-88_0005_79-040
# Object: omc1_c
# Date: 2016-12-03T07:18:36.810 (MJD: 57725.305393449074)
# Project: 88_0005_79
# Exposure: 212.76539999999997 s.
# Equatorial: 05h35m13.921s -05d22m22.81s (J2000.0)
# Horizontal: 127d52m33.28s 33d33m07.52s
# CRUSH version: 2.34-2 (devel.1)
#
# Flag '?' - 0x0x80000000 - Unknown
# Flag 'X' - 0x0x1 - Dead
# Flag 'B' - 0x0x2 - Blind
# Flag 'd' - 0x0x100 - Discarded
# Flag 'g' - 0x0x200 - Gain
# Flag 'n' - 0x0x400 - Noisy
# Flag 'f' - 0x0x800 - Degrees-of-freedom.
# Flag 's' - 0x0x1000 - Spiky
# Flag 'r' - 0x0x2000 - Railing/Saturated
# Flag 'F' - 0x0x4000 - Insufficient phase degrees-of-freedom
# Flag '@' - 0x0x8000 - Bad subarray gain
# Flag 'b' - 0x0x10000 - Bad TES bias gain
# Flag 'm' - 0x0x20000 - Bad MUX gain
# Flag 'R' - 0x0x40000 - Bad detector row gain
# Flag 'M' - 0x0x80000 - Bad series array gain
# Flag 'T' - 0x0x100000 - Flicker noise
#
# ch	gain	weight		flag	eff	Gmux	idx	sub	row	col
R0[6,19]	0.938 	3.930E-4 	-	0.736	1.000	1.000	211	0	6	19
R0[6,21]	1.016 	4.114E-4 	-	0.726	1.000	1.000	213	0	6	21
R0[6,22]	1.004 	4.308E-4 	-	0.706	1.000	1.000	214	0	6	22
R0[6,23]	0.960 	3.315E-4 	-	0.681	1.000	1.000	215	0	6	23
R0[6,24]	-0.001 	3.991E-3 	gn	10.662	1.000	1.000	216	0	6	24
R0[6,25]	0.932 	4.233E-4 	-	0.676	1.000	1.000	217	0	6	25
R0[6,26]	1.010 	3.856E-4 	-	0.703	1.000	1.000	218	0	6	26
R0[7,0]	0.539 	7.208E-4 	-	1.136	1.000	1.000	224	0	7	0
R0[7,1]	0.599 	6.770E-4 	-	1.086	1.000	1.000	225	0	7	1
R0[7,2]	0.017 	4.639E-3 	gn	-0.226	1.000	1.000	226	0	7	2
R0[7,3]	0.699 	5.594E-4 	-	0.987	1.000	1.000	227	0	7	3
R0[7,4]	0.909 	4.487E-4 	-	0.864	1.000	1.000	228	0	7	4
R0[7,5]	0.985 	4.007E-4 	-	0.864	1.000	1.000	229	0	7	5
R0[7,7]	0.889 	3.856E-4 	s	0.948	1.000	1.000	231	0	7	7
R0[7,8]	0.907 	4.335E-4 	-	0.898	1.000	1.000	232	0	7	8
R0[7,9]	1.006 	4.126E-4 	-	0.851	1.000	1.000	233	0	7	9
R0[7,10]	1.100 	3.663E-4 	-	0.820	1.000	1.000	234	0	7	10
R0[7,11]	1.036 	3.096E-4 	-	0.827	1.000	1.000	235	0	7	11
R0[7,12]	0.970 	3.866E-4 	-	0.808	1.000	1.000	236	0	7	12
R0[7,13]	1.004 	3.299E-4 	-	0.775	1.000	1.000	237	0	7	13
R0[7,14]	0.987 	3.857E-4 	-	0.759	1.000	1.000	238	0	7	14
